GEOID,NAME,pov_level_estimate,med_inc_estimate,pov_level_moe,med_inc_moe,census_tract,counts
36047116600,"Census Tract 1166, Kings County, New York",3015,51477,708,26746,36047116600,3
36005026701,"Census Tract 267.01, Bronx County, New York",3639,46123,828,7633,36005026701,5
36081005300,"Census Tract 53, Queens County, New York",5590,96690,893,20376,36081005300,9
36047027600,"Census Tract 276, Kings County, New York",3938,56652,722,3784,36047027600,6
36005000200,"Census Tract 2, Bronx County, New York",4453,70867,563,25423,36005000200,2
36081026200,"Census Tract 262, Queens County, New York",1505,73523,363,13135,36081026200,2
36047102400,"Census Tract 1024, Kings County, New York",2245,74643,498,36371,36047102400,2
36047073200,"Census Tract 732, Kings County, New York",2175,61572,451,6897,36047073200,1
36061014602,"Census Tract 146.02, New York County, New York",7878,115790,980,15293,36061014602,2
36061010900,"Census Tract 109, New York County, New York",251,155417,58,47068,36061010900,1
36047038300,"Census Tract 383, Kings County, New York",5572,77917,712,9466,36047038300,3
36085020804,"Census Tract 208.04, Richmond County, New York",6055,92500,771,9611,36085020804,1
36081062200,"Census Tract 622, Queens County, New York",2185,124236,425,33131,36081062200,1
36081134100,"Census Tract 1341, Queens County, New York",3508,80964,628,33072,36081134100,3
36081094201,"Census Tract 942.01, Queens County, New York",3229,70236,619,17798,36081094201,4
36081039400,"Census Tract 394, Queens County, New York",3179,98083,502,15392,36081039400,1
36081094700,"Census Tract 947, Queens County, New York",2324,73487,528,18312,36081094700,1
36047088002,"Census Tract 880.02, Kings County, New York",1187,87448,365,36012,36047088002,1
36047044400,"Census Tract 444, Kings County, New York",3900,54265,824,18826,36047044400,1
36047019800,"Census Tract 198, Kings County, New York",1875,66563,324,23189,36047019800,4
36005034400,"Census Tract 344, Bronx County, New York",2153,79779,658,21859,36005034400,1
36081062700,"Census Tract 627, Queens County, New York",2861,66042,574,23076,36081062700,3
36047011400,"Census Tract 114, Kings County, New York",3119,53148,749,12502,36047011400,4
36061023501,"Census Tract 235.01, New York County, New York",7293,71592,1146,8342,36061023501,1
36047084600,"Census Tract 846, Kings County, New York",1905,53281,272,18136,36047084600,2
36061004800,"Census Tract 48, New York County, New York",5367,164620,752,11913,36061004800,4
36005015100,"Census Tract 151, Bronx County, New York",5263,27135,909,4901,36005015100,9
36005034000,"Census Tract 340, Bronx County, New York",5670,57782,909,13027,36005034000,4
36047115000,"Census Tract 1150, Kings County, New York",2839,63106,758,6930,36047115000,2
36005040100,"Census Tract 401, Bronx County, New York",5008,25873,693,7513,36005040100,4
36061007200,"Census Tract 72, New York County, New York",7660,141161,905,28189,36061007200,1
36081040701,"Census Tract 407.01, Queens County, New York",3711,73608,870,12352,36081040701,6
36047101800,"Census Tract 1018, Kings County, New York",2176,86188,428,17938,36047101800,1
36047031701,"Census Tract 317.01, Kings County, New York",3792,88325,774,18779,36047031701,4
36081064500,"Census Tract 645, Queens County, New York",1993,87632,392,20512,36081064500,2
36005042901,"Census Tract 429.01, Bronx County, New York",3248,38833,482,14786,36005042901,1
36061027900,"Census Tract 279, New York County, New York",11410,51599,1453,8172,36061027900,1
36047098400,"Census Tract 984, Kings County, New York",2210,97386,421,30619,36047098400,2
36047050600,"Census Tract 506, Kings County, New York",5754,73077,1028,25740,36047050600,8
36005043600,"Census Tract 436, Bronx County, New York",2214,73550,509,15046,36005043600,1
36047119600,"Census Tract 1196, Kings County, New York",5089,43916,791,5139,36047119600,9
36047066200,"Census Tract 662, Kings County, New York",1392,83446,265,16204,36047066200,4
36081011100,"Census Tract 111, Queens County, New York",3092,99926,487,26258,36081011100,3
36081012301,"Census Tract 123.01, Queens County, New York",2960,110433,643,13138,36081012301,1
36081008800,"Census Tract 88, Queens County, New York",3894,105485,619,18124,36081008800,3
